Rep,Model,Trait,Component,MeanVar,DIC,runtime_sec
4,15,GY,PGK,15.021757683949014,6899.286681783848,99.47206592559814
4,15,GY,GGKE,36.343291906728126,6899.286681783848,99.47206592559814
4,15,GY,PGKE,13.640439431594517,6899.286681783848,99.47206592559814
4,15,GY,GGKW,95.56804592061438,6899.286681783848,99.47206592559814
4,15,GY,PGKW,28.31167989186699,6899.286681783848,99.47206592559814
4,16,GY,Residual,48.28461419794727,6853.131939728631,44.65770196914673
4,16,GY,E,1074.2141193624816,6853.131939728631,44.65770196914673
4,16,GY,W,1.620939749646719,6853.131939728631,44.65770196914673
4,16,GY,GAK,18200.99148602198,6853.131939728631,44.65770196914673
4,16,GY,GAKE,151.37443137790038,6853.131939728631,44.65770196914673
4,16,GY,GAKW,1490.096001054188,6853.131939728631,44.65770196914673
4,17,GY,Residual,262.53128917071166,8397.68532819267,56.86179995536804
4,17,GY,E,1150.7460031670319,8397.68532819267,56.86179995536804
4,17,GY,W,1.400672067111925,8397.68532819267,56.86179995536804
4,17,GY,PAK,5943.736921542921,8397.68532819267,56.86179995536804
4,17,GY,PAKE,73.47201475148539,8397.68532819267,56.86179995536804
4,17,GY,PAKW,221.26010358871844,8397.68532819267,56.86179995536804
4,18,GY,Residual,47.734879374101006,6860.449232169304,84.86393809318542
4,18,GY,E,1227.7312801602286,6860.449232169304,84.86393809318542
4,18,GY,W,1.099197761108705,6860.449232169304,84.86393809318542
4,18,GY,GAK,17805.282052020477,6860.449232169304,84.86393809318542
4,18,GY,PAK,65.0198013842587,6860.449232169304,84.86393809318542
4,18,GY,GAKE,145.19789580118965,6860.449232169304,84.86393809318542
4,18,GY,PAKE,44.50162844039103,6860.449232169304,84.86393809318542
4,18,GY,GAKW,1064.0925344628129,6860.449232169304,84.86393809318542
4,18,GY,PAKW,97.83070278444873,6860.449232169304,84.86393809318542
4,2,GY,Residual,49.484644348794504,6956.454078824447,51.76969885826111
4,2,GY,E,1300.1569482309615,6956.454078824447,51.76969885826111
4,2,GY,P,140858201.46598756,6956.454078824447,51.76969885826111
4,2,GY,PE,194.1314191843729,6956.454078824447,51.76969885826111
4,3,GY,Residual,45.70278855664266,6850.411327610669,37.02884006500244
4,3,GY,E,1039.2266851063732,6850.411327610669,37.02884006500244
4,3,GY,GGK,1088.0658068175471,6850.411327610669,37.02884006500244
4,3,GY,GGKE,85.32275770480484,6850.411327610669,37.02884006500244
4,4,GY,Residual,191.5251312990474,8338.054262854508,51.14407300949097
4,4,GY,E,1748.808106106215,8338.054262854508,51.14407300949097
4,4,GY,PGK,131.89744930096575,8338.054262854508,51.14407300949097
