Model,Trait,Component,AvgVar,MeanDIC,MeanRuntimeSec,TotalVar,Percentage,Model.y,ETA,Category,Description,ComponentLabel
M9,KW,PAKE,14.782578266335785,5484.244735920516,127.01247086524964,7739.540988802491,0.001910007103486254,M9,Eta9,Integrated G/P + E,E + GAK + PAK + GAKE + PAKE,PAK × E
M9,KW,Residual,12.07457195588121,5484.244735920516,127.01247086524964,7739.540988802491,0.001560114737211239,M9,Eta9,Integrated G/P + E,E + GAK + PAK + GAKE + PAKE,Residual
M10,GY,E,1204.1796615305034,6842.063873727075,67.0948715686798,1485.017148274634,0.8108860311341041,M10,Eta10,Weather-augmented,E + W + G + GE + GW,Environment (E)
M10,GY,G,166.87441133361372,6842.063873727075,67.0948715686798,1485.017148274634,0.1123720433312818,M10,Eta10,Weather-augmented,E + W + G + GE + GW,Genomic linear (G)
M10,GY,GE,18.614827903616693,6842.063873727075,67.0948715686798,1485.017148274634,0.012535092894546244,M10,Eta10,Weather-augmented,E + W + G + GE + GW,G × E
M10,GY,GW,52.656621791308396,6842.063873727075,67.0948715686798,1485.017148274634,0.03545859510948237,M10,Eta10,Weather-augmented,E + W + G + GE + GW,G × W
M10,GY,Residual,41.13286154798439,6842.063873727075,67.0948715686798,1485.017148274634,0.02769857681157054,M10,Eta10,Weather-augmented,E + W + G + GE + GW,Residual
M10,GY,W,1.5587641676075237,6842.063873727075,67.0948715686798,1485.017148274634,0.0010496607190149773,M10,Eta10,Weather-augmented,E + W + G + GE + GW,Weather kernel (W)
M10,KW,E,288.93466980253163,5467.930706802321,109.16140654087067,404.9763168531063,0.7134606587558415,M10,Eta10,Weather-augmented,E + W + G + GE + GW,Environment (E)
M10,KW,G,87.96245662636713,5467.930706802321,109.16140654087067,404.9763168531063,0.21720395234438614,M10,Eta10,Weather-augmented,E + W + G + GE + GW,Genomic linear (G)
M10,KW,GE,4.7778148880388605,5467.930706802321,109.16140654087067,404.9763168531063,0.011797763694344323,M10,Eta10,Weather-augmented,E + W + G + GE + GW,G × E
M10,KW,GW,12.792861863069767,5467.930706802321,109.16140654087067,404.9763168531063,0.03158916047851266,M10,Eta10,Weather-augmented,E + W + G + GE + GW,G × W
M10,KW,Residual,10.076448168104246,5467.930706802321,109.16140654087067,404.9763168531063,0.0248815739310484,M10,Eta10,Weather-augmented,E + W + G + GE + GW,Residual
M10,KW,W,0.43206550499470364,5467.930706802321,109.16140654087067,404.9763168531063,0.0010668907958670164,M10,Eta10,Weather-augmented,E + W + G + GE + GW,Weather kernel (W)
M11,GY,E,1320.4778115289678,6961.344779352445,68.08335599899291,137512792.9247543,9.602581574003234e-6,M11,Eta11,Weather-augmented,E + W + P + PE + PW,Environment (E)
M11,GY,P,137510730.86157954,6961.344779352445,68.08335599899291,137512792.9247543,0.9999850045720773,M11,Eta11,Weather-augmented,E + W + P + PE + PW,Phenomic linear (P)
M11,GY,PE,121.88712169365917,6961.344779352445,68.08335599899291,137512792.9247543,8.863693268185939e-7,M11,Eta11,Weather-augmented,E + W + P + PE + PW,P × E
M11,GY,PW,565.6765326302069,6961.344779352445,68.08335599899291,137512792.9247543,4.113628416664766e-6,M11,Eta11,Weather-augmented,E + W + P + PE + PW,P × W
